event,lon,lat,id,geo,datetime
12049679217,-80.059,67.74,114508,POINT (-80.059 67.73999999999999),2014-07-20 18:15:00.000
12049681688,-80.061,68.905,128146,POINT (-80.06100000000001 68.905),2013-10-08 13:53:00.000
12049684952,-80.062,63.443,128151,POINT (-80.062 63.443),2014-05-14 13:18:00.000
12049681456,-80.064,69.075,128146,POINT (-80.06399999999999 69.075),2013-09-11 05:02:00.000
12049685001,-80.068,65.067,128151,POINT (-80.068 65.06699999999999),2014-06-02 01:43:00.000
12049680482,-80.072,64.282,128145,POINT (-80.072 64.282),2014-06-25 23:05:00.000
12049654938,-80.072,69.085,128150,POINT (-80.072 69.08499999999999),2013-08-28 13:59:00.000
12049685176,-80.073,69.306,128151,POINT (-80.07299999999999 69.306),2014-07-10 21:51:00.000
12049680384,-80.077,64.149,128145,POINT (-80.077 64.149),2014-05-22 09:54:00.000
12049654947,-80.078,69.093,128150,POINT (-80.078 69.093),2013-08-29 03:30:00.000
12049657848,-80.08,65.53,128151,POINT (-80.08 65.53),2013-11-05 17:38:00.000
12049686533,-80.081,62.612,128151,POINT (-80.081 62.612),2015-06-18 14:06:00.000
12049684945,-80.088,63.58,128151,POINT (-80.08799999999999 63.58),2014-05-08 11:13:00.000
12049690818,-80.089,66.769,201671,POINT (-80.089 66.76900000000001),2005-10-24 07:12:00.000
12049660933,-80.091,62.574,128152,POINT (-80.09099999999999 62.574),2014-04-16 13:35:00.000
12049681655,-80.095,69.256,128146,POINT (-80.095 69.256),2013-10-04 11:09:00.000
12049683958,-80.095,67.671,128150,POINT (-80.095 67.67100000000001),2014-07-21 07:38:00.000
12049655044,-80.098,68.481,128150,POINT (-80.098 68.48099999999999),2013-09-06 11:29:00.000
12049681669,-80.098,69.168,128146,POINT (-80.098 69.16800000000001),2013-10-06 03:58:00.000
12049690811,-80.103,67.058,201671,POINT (-80.10299999999999 67.05800000000001),2005-10-23 18:23:00.000
12049654957,-80.105,69.053,128150,POINT (-80.105 69.053),2013-08-30 03:33:00.000
12049655065,-80.105,69.313,128150,POINT (-80.105 69.313),2013-09-08 03:12:00.000
12049654139,-80.113,68.181,128150,POINT (-80.113 68.181),2013-07-11 13:44:00.000
12049679189,-80.114,64.411,114508,POINT (-80.114 64.411),2014-07-16 17:23:00.000
12049654968,-80.119,69.104,128150,POINT (-80.119 69.104),2013-08-31 05:51:00.000
12049684641,-80.121,62.353,128150,POINT (-80.121 62.353),2015-05-04 16:03:00.000
12049654609,-80.125,67.597,128150,POINT (-80.125 67.59699999999999),2013-08-11 19:28:00.000
12049654979,-80.13,69.064,128150,POINT (-80.13 69.06399999999999),2013-09-01 11:38:00.000
12049680457,-80.13,64.51,128145,POINT (-80.13 64.51000000000001),2014-06-18 21:56:00.000
12049681448,-80.132,68.813,128146,POINT (-80.13200000000001 68.813),2013-09-10 15:43:00.000
12049654643,-80.137,67.682,128150,POINT (-80.137 67.682),2013-08-13 09:09:00.000
12049661742,-80.139,69.126,128152,POINT (-80.139 69.126),2014-07-09 07:18:00.000
12049684992,-80.147,64.17,128151,POINT (-80.14700000000001 64.17),2014-05-28 23:30:00.000
12049654974,-80.15,69.074,128150,POINT (-80.15000000000001 69.074),2013-08-31 23:23:00.000
12049655579,-80.155,64.994,128150,POINT (-80.155 64.994),2013-11-15 19:33:00.000
12049654897,-80.155,68.68,128150,POINT (-80.155 68.68000000000001),2013-08-24 23:03:00.000
12049679474,-80.157,68.075,114508,POINT (-80.157 68.075),2014-08-12 13:54:00.000
12049680517,-80.158,69.265,128145,POINT (-80.158 69.265),2014-07-11 01:17:00.000
12049654819,-80.164,67.85,128150,POINT (-80.164 67.84999999999999),2013-08-21 05:07:00.000
12049684811,-80.171,62.687,128150,POINT (-80.17100000000001 62.687),2015-06-17 23:55:00.000
12049681416,-80.173,69.345,128146,POINT (-80.173 69.345),2013-09-08 11:11:00.000
12049683899,-80.178,67.55,128150,POINT (-80.178 67.55),2014-07-03 17:14:00.000
12049681640,-80.178,69.261,128146,POINT (-80.178 69.261),2013-10-02 13:28:00.000
12049686720,-80.178,64.488,128151,POINT (-80.178 64.488),2015-06-29 19:54:00.000
12049684208,-80.18,69.058,128150,POINT (-80.18000000000001 69.05800000000001),2014-09-01 03:50:00.000
12049681715,-80.19,68.5,128146,POINT (-80.19 68.5),2013-10-11 01:43:00.000
12049684137,-80.194,68.177,128150,POINT (-80.194 68.17700000000001),2014-08-17 15:08:00.000
12049657679,-80.194,68.658,128151,POINT (-80.194 68.658),2013-10-12 01:17:00.000
12049690723,-80.198,68.76,201671,POINT (-80.19799999999999 68.76000000000001),2005-10-16 23:21:00.000
12049654655,-80.199,67.729,128150,POINT (-80.199 67.729),2013-08-13 23:08:00.000
12049661558,-80.199,64.408,128152,POINT (-80.199 64.408),2014-06-26 01:49:00.000
12049684201,-80.201,69.119,128150,POINT (-80.20099999999999 69.119),2014-08-27 19:26:00.000
